DayOfWeek,Date,DepTime,ArrTime,CRSArrTime,UniqueCarrier,Airline,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Org_Airport,Dest,Dest_Airport,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DepHour,DepMinute,DepDatetime,Month,Hour,Route,DepDateTime,ArrDateTime,CRSArrDateTime
Friday,2019-01-18,2149,2304,2235,WN,Southwest Airlines Co.,3332,N345SA,75,80,60,29,34,SMF,Sacramento International Airport,LAS,McCarran International Airport,397,6,9,0,N,0,3,0,0,0,26,21,49,2019-01-18 21:49:00,1,21,SMF-LAS,2019-01-18 21:49:00,2019-01-18 23:04:00,2019-01-18 22:35:00
Monday,2019-01-21,835,957,905,EV,Atlantic Southeast Airlines,4450,N851AS,82,95,64,52,65,ATL,Hartsfield-Jackson Atlanta International Airport,PHF,Newport News/Williamsburg International Airport,508,5,13,0,N,0,52,0,0,0,0,8,35,2019-01-21 08:35:00,1,8,ATL-PHF,2019-01-21 08:35:00,2019-01-21 09:57:00,2019-01-21 09:05:00
Thursday,2019-03-14,2136,2314,2230,WN,Southwest Airlines Co.,1071,N506SW,98,85,54,44,31,PHL,Philadelphia International Airport,MHT,Manchester-Boston Regional Airport,290,3,41,0,N,0,0,0,13,0,31,21,36,2019-03-14 21:36:00,3,21,PHL-MHT,2019-03-14 21:36:00,2019-03-14 23:14:00,2019-03-14 22:30:00
Thursday,2019-01-10,1932,2109,2010,UA,United Air Lines Inc.,1219,N818UA,157,156,131,59,58,PHL,Philadelphia International Airport,ORD,Chicago O'Hare International Airport,678,9,17,0,N,0,0,0,59,0,0,19,32,2019-01-10 19:32:00,1,19,PHL-ORD,2019-01-10 19:32:00,2019-01-10 21:09:00,2019-01-10 20:10:00
Sunday,2019-03-17,1447,1632,1615,MQ,American Eagle Airlines Inc.,3861,N823AE,105,110,85,17,22,DFW,Dallas/Fort Worth International Airport,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,626,8,12,0,N,0,17,0,0,0,0,14,47,2019-03-17 14:47:00,3,14,DFW-VPS,2019-03-17 14:47:00,2019-03-17 16:32:00,2019-03-17 16:15:00
Thursday,2019-04-04,757,1010,926,UA,United Air Lines Inc.,1429,N495UA,253,266,229,44,57,FLL,Fort Lauderdale-Hollywood International Airport,DEN,Denver International Airport,1703,11,13,0,N,0,44,0,0,0,0,7,57,2019-04-04 07:57:00,4,7,FLL-DEN,2019-04-04 07:57:00,2019-04-04 10:10:00,2019-04-04 09:26:00
Saturday,2019-01-05,1301,1442,1345,MQ,American Eagle Airlines Inc.,3104,N821AE,101,75,48,57,31,LAS,McCarran International Airport,LAX,Los Angeles International Airport,236,6,47,0,N,0,0,0,29,0,28,13,1,2019-01-05 13:01:00,1,13,LAS-LAX,2019-01-05 13:01:00,2019-01-05 14:42:00,2019-01-05 13:45:00
Thursday,2019-04-04,1828,2000,1935,WN,Southwest Airlines Co.,3581,N725SW,212,200,186,25,13,HOU,William P. Hobby Airport,LAS,McCarran International Airport,1235,5,21,0,N,0,13,0,12,0,0,18,28,2019-04-04 18:28:00,4,18,HOU-LAS,2019-04-04 18:28:00,2019-04-04 20:00:00,2019-04-04 19:35:00
Wednesday,2019-06-19,1513,2320,2137,UA,United Air Lines Inc.,292,N535UA,307,317,284,103,113,SFO,San Francisco International Airport,MCO,Orlando International Airport,2445,6,17,0,N,0,43,0,0,0,60,15,13,2019-06-19 15:13:00,6,15,SFO-MCO,2019-06-19 15:13:00,2019-06-19 23:20:00,2019-06-19 21:37:00
Thursday,2019-04-25,1617,1742,1719,EV,Atlantic Southeast Airlines,4509,N712EV,85,80,50,23,18,ATL,Hartsfield-Jackson Atlanta International Airport,SDF,Louisville International Airport (Standiford Field),321,6,29,0,N,0,18,0,5,0,0,16,17,2019-04-25 16:17:00,4,16,ATL-SDF,2019-04-25 16:17:00,2019-04-25 17:42:00,2019-04-25 17:19:00
Saturday,2019-03-16,1010,1056,1041,OO,Skywest Airlines Inc.,3784,N915EV,106,104,78,15,13,SLC,Salt Lake City International Airport,PSC,Tri-Cities Airport,521,5,23,0,N,0,15,0,0,0,0,10,10,2019-03-16 10:10:00,3,10,SLC-PSC,2019-03-16 10:10:00,2019-03-16 10:56:00,2019-03-16 10:41:00
Tuesday,2019-03-05,2355,53,2349,UA,United Air Lines Inc.,927,N595UA,58,79,43,64,85,SFO,San Francisco International Airport,LAX,Los Angeles International Airport,337,3,12,0,N,0,64,0,0,0,0,23,55,2019-03-05 23:55:00,3,23,SFO-LAX,2019-03-05 23:55:00,2019-03-06 00:53:00,2019-03-06 23:49:00
Saturday,2019-01-05,1646,1805,1745,AA,American Airlines Inc.,355,N533AA,199,190,180,20,11,DFW,Dallas/Fort Worth International Airport,ONT,Ontario International Airport,1189,7,12,0,N,0,11,0,9,0,0,16,46,2019-01-05 16:46:00,1,16,DFW-ONT,2019-01-05 16:46:00,2019-01-05 18:05:00,2019-01-05 17:45:00
